,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
241,242.0,0.9651187179856019,5.134484552179536,1200000.0,1.4861483320752187e-06,0.2759385751249397,3564.520713828504,0.07859325949433793,2.5097256012917104e-07,981729.6,25.0
242,243.0,0.9533742670917533,5.149004822696,1200000.0,1.5970082547596401e-06,0.2527092586286557,2921.990260735154,0.06837588411337941,2.6337254654224766e-07,1004509.6,25.0
243,244.0,0.9683264423193836,5.067956425520954,1200000.0,1.5439931135686783e-06,0.2707944877364312,2673.4407407343388,0.07833923010890992,2.344744202741888e-07,975242.4,25.0
244,245.0,1.025137986493714,5.1306556823622955,1200000.0,1.5678363863414721e-06,0.291000965768788,2245.5703215897083,0.09199104469341168,2.0175388001670848e-07,909758.4,25.0
245,246.0,0.9324704152272193,5.153248848973128,1200000.0,1.591021218378297e-06,0.27176915117031086,2601.3374601230025,0.0824128039998947,2.2858821621463333e-07,967578.8,25.0
246,247.0,0.9854429394819291,5.242416211643061,1200000.0,1.636833208774961e-06,0.28355278014231544,3702.2613634616137,0.07751442684513904,2.4523994634085416e-07,888583.2,25.0
247,248.0,0.9254373582810648,4.841340407535917,1200000.0,1.4370801230913552e-06,0.29864607094231843,3021.00189679116,0.08662308081301834,2.3002030644885387e-07,914892.4,25.0
248,249.0,0.9612930494773182,5.1030826855334865,1200000.0,1.6316658009463361e-06,0.2919863979495787,4116.183320358396,0.07973298830948122,1.9826650776775916e-07,941269.6,25.0
249,250.0,1.0161678139985006,5.35241070767249,1200000.0,1.5565735259255665e-06,0.263948904762195,4690.980923123658,0.07101498069607454,2.540287677433564e-07,1034416.0,25.0
250,251.0,1.067233271739934,5.034699885623475,1200000.0,1.4326759966312467e-06,0.2738383232760171,4407.027555063367,0.07752630846546082,2.535607246170667e-07,1059582.8,25.0
